Factor_1_Score,Factor_2_Score,Factor_3_Score
-0.09419748055097282,0.004443968448242378,-0.25395625575071223
-0.639418667669589,-0.29196407727470863,-0.5485501056626712
-0.7103385200246807,0.43027553282109243,-0.08371744374421487
-0.845824019614697,-0.3461604480695564,-1.842854887961515
0.23838532536473855,-0.10390535988834448,-0.4491210851218297
-0.3477359601201222,0.1763656524802085,0.5316695545917087
2.168061057563898,-1.1828039395075733,-0.40451717556362454
-0.17556530797052367,0.8052872252286584,0.03977563503289324
-1.7632290871946499,-0.8604032341912632,0.9558160189832671
0.2178816641180192,-1.1335932942721776,-1.2897163192653027
-0.3227259092808285,-0.02861832478449771,0.8704836611625628
0.6195658854891838,-0.7144411056615642,1.0981592320935187
-0.70000069890198,-0.10127319193595014,-0.46954175980339125
0.12480898775691307,0.037699763535496915,-0.005341908163848298
-1.1258026567233899,0.08795878772849487,1.1975276975014324
-0.7277462115176796,0.27770704336597624,-0.8388013660287877
0.6364576855061453,0.38397835346309955,-1.0089586784799471
-1.602276107079677,0.13763829332702004,-0.8118167121932309
0.6262182204669867,-1.4400363897829358,0.1207071733488628
-0.9723317574260825,-0.3867898863913845,0.9179562338437177
-1.4035241337906823,-0.8350763151488733,1.0866205064612093
0.5723436356151967,-0.7418462223497355,-0.31263001844941246
-1.0925808894451146,0.13440809145872165,0.27817009375181084
-0.2767487449150483,0.2573158335925778,0.21856251290079406
0.48496789291017145,-0.3305758359366662,-0.18825622677833123
-0.6652449837805807,-0.78127407470025,-0.1023336927948407
0.15671660817741273,-0.7829139953970699,-0.010216254382851906
-0.4225350637149815,0.0824057375547019,-0.031267284607582255
-0.5591213232891599,-0.2908613043985058,-0.1960606796474961
-0.7381993768800779,-1.0122118380643976,-0.1429444606177944
-0.6281732984157926,-0.8892271890514745,0.9835727589866502
-0.10166170725428926,0.7365555027233428,-1.280505553463936
-0.16882619260701412,-0.1327182621273311,-0.6770022655668314
-0.10197766887017021,-0.15324720883594006,0.03930514897499608
0.28285453688517365,-1.5254078672398972,0.23116692718975476
0.006449491269582606,-0.869909893990021,-0.5508060718324894
-0.46275631279485785,0.25073472698690796,-0.48103586496609213
-0.18996406303258295,-0.9259601771805831,-1.2511879570525737
-0.49935568229087735,-0.11652871345687275,-0.6261658831600836
0.5580584760781291,0.10388942029300254,0.9653476815035147
-0.8012347681497156,-0.2165218237328871,0.19924263546820975
1.1216272786788362,-0.5740834250915063,0.08111720602201582
0.4794293933016791,-1.6153513097095034,0.14359434011847946
-0.7394058424804006,-1.2144275444455976,-0.44106440930069885
-0.2880479947680687,-0.4987761081833944,-0.6751116623616467
2.449973610599866,2.076886387691376,1.9553232854848606
-1.3085471598690601,-0.3413105839820817,0.7186847325960612
0.8843506672415128,-0.08740044590189938,0.10919891388190335
-0.3639220854304508,0.7803153459504028,-0.6990321372444827
-0.39692111432225835,0.00873431750271658,-0.03183702362001122
0.20538710914052108,1.1749282523257507,0.0799314353047506
-0.115192996779585,-0.0385924074468949,-0.9638517526116488
-0.2752966960856669,-0.5934770800834629,0.26001014336948597
-1.0639360233474904,-1.134490799392675,0.4562229584305132
-0.006211289864126443,-0.0802151874930557,-0.12801310943771357
-0.04170500676416626,0.04652527557850361,-0.35220373308691755
-0.9835405320861713,0.02604746828302968,1.3777264003506466
0.999861970777533,-0.270991399723463,-1.2758580328609865
-0.09983886772360231,-0.664813721933743,0.14969021181745748
0.22497175979193182,-1.3464232479738292,0.9273528249198584
-0.6842576886732202,-1.3056338451406677,-0.058484618155833334
0.9353120068223423,-0.7208538565700703,-0.031496895007533145
0.881562116350202,-0.4310326864266005,1.1857007309860783
-0.674614779683692,-0.6731035839608089,-0.6200279462672292
0.32736648420227266,-0.08237285463278322,0.21645608860874066
0.8296295514065156,0.6395330919167714,0.9957121685515866
0.0033216401163853747,-0.4457778274511414,0.9009320696408012
-0.5623765732973257,0.292035209035774,-0.27716133800058707
0.31207877105578363,-0.4744437149865921,-0.11773641821171207
0.8468070179968441,-0.7693715405637436,0.22531980107237404
0.19602384510104084,-0.7246571108755969,-1.019145292609991
0.6393101243217534,-0.9442644216154477,0.22088512143036285
-0.8139294650119179,-1.0569762548781099,1.0681035424718104
-0.11311601803073196,1.2867368061100186,0.8098332331859295
-0.7233157600768115,0.41041657859824415,-0.4436451593347546
0.14692911259824595,-1.1152309955245363,0.27419684827896496
1.5652230779392426,-0.18809776205299894,0.13183296102697595
-0.40974575715549366,-0.20361499744974343,0.7635593892849383
-1.1364145743469622,-0.22071820880684845,-0.22161921732972803
-0.8934698374655271,0.8977700255482763,1.0139465953767446
0.234806625662446,0.20279085357800827,-0.894209441564687
-0.9855443958400287,-0.4492255266750608,0.16372033371696132
-0.013000692387745993,-0.49839925285967784,0.10550381029757475
0.0018107996582182853,-0.13498135801853753,-0.13619451720573048
2.0291211975446664,-0.25641132990568216,-0.9103185850165033
0.4025111896266248,-1.2579401647679702,-1.0981769353977286
-1.4825263676901244,0.21744602954743056,0.34050278658807565
0.43634932393089215,-0.9925164860944763,1.1315162704826394
-0.9145466338768428,-1.0723039449568776,0.29504231689386984
-0.5442900536024144,-0.24344516090225124,0.3851490740881751
-1.2059253121528686,-0.4408121141988917,-0.0160733316584446
-1.0087133239944004,0.15500402398987445,-0.6218083581389647
-0.9996113639496133,0.20310318868341146,0.34979325002602857
-0.6579213478974204,-0.7926027088610658,0.9620355351196611
-0.6125220801075644,0.09335059302420502,-0.37161641001212
-0.09018499289818338,0.44798925722822697,-0.381337353033822
1.0176993126681473,-0.23804471707984168,0.06604271566458148
0.4163230270568789,-0.8175064639800111,-0.8753560419485813
0.050164801757345064,0.5889981311977975,0.15107188795053916
0.49874019906562655,-0.6177634082738905,-0.7627614201830517
0.8516439890490101,1.2955895603478744,-0.8207849245906057
-0.6081146831414028,-0.1462315667578774,0.2149458964040948
0.022098954333787616,-0.9615967232696377,0.49649236912525724
1.0234685295776824,-0.28444421559159866,-0.620574824214633
-0.19677942153379446,0.31122397414853725,-0.21100964803642253
0.5010525816945793,-1.0923758790939035,0.5139065053192796
0.47124235686228955,0.1233900834465659,-0.02219959449843231
-0.36732784689172193,-0.7119474484361462,-0.2117473735109898
-0.010394677797834453,-0.010131536982559716,-0.08148613591681901
-0.4226588842640688,-0.7813657968480712,-0.3068329064798091
-0.08725560189856013,0.6666109575933561,0.12558727641803885
